Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
23.076262812500001,140,2 (0x32),'224' (0xE0),Read,ACK
23.076358375000002,140,2 (0x32),'216' (0xD8),Read,NAK
23.076573937500001,141,2 (0x32),' (0x27),Write,ACK
23.076778937499999,142,2 (0x32),'0' (0x00),Read,NAK
23.077983687500002,143,2 (0x32),' (0x27),Write,ACK
23.078188687499999,144,2 (0x32),'0' (0x00),Read,NAK
23.079392687500000,145,2 (0x32),' (0x27),Write,ACK
23.079597625000002,146,2 (0x32),'0' (0x00),Read,NAK
23.080800562499999,147,2 (0x32),' (0x27),Write,ACK
23.081005562500000,148,2 (0x32),'0' (0x00),Read,NAK
23.082208500000000,149,2 (0x32),' (0x27),Write,ACK
23.082413500000001,150,2 (0x32),'0' (0x00),Read,NAK
23.083616437500002,151,2 (0x32),' (0x27),Write,ACK
23.083821437499999,152,2 (0x32),'0' (0x00),Read,NAK
23.085024375000000,153,2 (0x32),' (0x27),Write,ACK
23.085229312500001,154,2 (0x32),'0' (0x00),Read,NAK
23.086432250000001,155,2 (0x32),' (0x27),Write,ACK
23.086637249999999,156,2 (0x32),'0' (0x00),Read,NAK
23.087840187499999,157,2 (0x32),' (0x27),Write,ACK
23.088045187500001,158,2 (0x32),'0' (0x00),Read,NAK
23.089248125000001,159,2 (0x32),' (0x27),Write,ACK
23.089453124999999,160,2 (0x32),'0' (0x00),Read,NAK
23.090656062499999,161,2 (0x32),' (0x27),Write,ACK
23.090861000000000,162,2 (0x32),'0' (0x00),Read,NAK
23.092064000000001,163,2 (0x32),' (0x27),Write,ACK
23.092268937499998,164,2 (0x32),'0' (0x00),Read,NAK
23.093471874999999,165,2 (0x32),' (0x27),Write,ACK
23.093676875000000,166,2 (0x32),'0' (0x00),Read,NAK
23.094879812500000,167,2 (0x32),' (0x27),Write,ACK
23.095084812500001,168,2 (0x32),'0' (0x00),Read,NAK
23.096287749999998,169,2 (0x32),' (0x27),Write,ACK
23.096492687500000,170,2 (0x32),'0' (0x00),Read,NAK
23.097695687500000,171,2 (0x32),' (0x27),Write,ACK
23.097900625000001,172,2 (0x32),'0' (0x00),Read,NAK
23.099103562500002,173,2 (0x32),' (0x27),Write,ACK
23.099308562499999,174,2 (0x32),'0' (0x00),Read,NAK
23.100511500000000,175,2 (0x32),' (0x27),Write,ACK
23.100716500000001,176,2 (0x32),'0' (0x00),Read,NAK
23.101919437500001,177,2 (0x32),' (0x27),Write,ACK
23.102124437499999,178,2 (0x32),'0' (0x00),Read,NAK
23.103327374999999,179,2 (0x32),' (0x27),Write,ACK
23.103532312500001,180,2 (0x32),'0' (0x00),Read,NAK
23.104735250000001,181,2 (0x32),' (0x27),Write,ACK
23.104940249999999,182,2 (0x32),'0' (0x00),Read,NAK
23.106143187499999,183,2 (0x32),' (0x27),Write,ACK
23.106348187500000,184,2 (0x32),'15' (0x0F),Read,NAK
23.106559812499999,185,2 (0x32),'140' (0x8C),Write,ACK
23.106764812500000,186,2 (0x32),'0' (0x00),Read,ACK
23.106860125000001,186,2 (0x32),'6' (0x06),Read,NAK
34.948973250000002,188,2 (0x32),'15' (0x0F),Write,ACK
34.949209312500003,189,2 (0x32),3 (0x33),Read,NAK
34.949431437500003,190,2 (0x32),# (0x23),Write,ACK
34.949636374999997,191,2 (0x32),'136' (0x88),Read,NAK
34.949851062500002,192,2 (0x32),# (0x23),Write,ACK
34.949945874999997,192,2 (0x32),'136' (0x88),Write,ACK
34.950164812499999,193,2 (0x32),' ' (0x20),Write,ACK
34.950369812500000,194,2 (0x32),7 (0x37),Read,NAK
34.950581437499999,195,2 (0x32),' ' (0x20),Write,ACK
34.950676250000001,195,2 (0x32),7 (0x37),Write,ACK
34.950887874999999,196,2 (0x32),# (0x23),Write,ACK
34.951092875000001,197,2 (0x32),'136' (0x88),Read,NAK
34.951304499999999,198,2 (0x32),# (0x23),Write,ACK
34.951399312500001,198,2 (0x32),'136' (0x88),Write,ACK
34.951610937500000,199,2 (0x32),'31' (0x1F),Write,ACK
34.951815937500001,200,2 (0x32),'192' (0xC0),Read,NAK
34.952027562500000,201,2 (0x32),'31' (0x1F),Write,ACK
34.952122375000002,201,2 (0x32),'192' (0xC0),Write,ACK
34.952334000000000,202,2 (0x32),' ' (0x20),Write,ACK
34.952538937500002,203,2 (0x32),7 (0x37),Read,NAK
34.952750625000000,204,2 (0x32),# (0x23),Write,ACK
34.952955562500001,205,2 (0x32),'136' (0x88),Read,NAK
34.953167187500000,206,2 (0x32),' ' (0x20),Write,ACK
34.953262000000002,206,2 (0x32),7 (0x37),Write,ACK
34.953473625000001,207,2 (0x32),# (0x23),Write,ACK
34.953568437500003,207,2 (0x32),'136' (0x88),Write,ACK
34.954063437499997,209,'236' (0xEC),'208' (0xD0),Write,ACK
34.954272187500003,210,'236' (0xEC),` (0x60),Read,NAK
34.954488812500003,211,'236' (0xEC),'224' (0xE0),Write,ACK
34.954583624999998,211,'236' (0xEC),'182' (0xB6),Write,ACK
34.964808687500003,212,'236' (0xEC),'243' (0xF3),Write,ACK
34.965013687499997,213,'236' (0xEC),'0' (0x00),Read,NAK
34.965225937500001,214,'236' (0xEC),'136' (0x88),Write,ACK
34.965430937500003,215,'236' (0xEC),Y (0x59),Read,ACK
34.965526562500003,215,'236' (0xEC),n (0x6E),Read,NAK
34.965738187500001,216,'236' (0xEC),'138' (0x8A),Write,ACK
34.965943125000003,217,'236' (0xEC),k (0x6B),Read,ACK
34.966038437500004,217,'236' (0xEC),f (0x66),Read,NAK
34.966250062500002,218,'236' (0xEC),'140' (0x8C),Write,ACK
34.966455062500003,219,'236' (0xEC),2 (0x32),Read,ACK
34.966550374999997,219,'236' (0xEC),'0' (0x00),Read,NAK
34.966762000000003,220,'236' (0xEC),'142' (0x8E),Write,ACK
34.966966999999997,221,'236' (0xEC),{ (0x7B),Read,ACK
34.967062374999998,221,'236' (0xEC),'141' (0x8D),Read,NAK
34.967274000000003,222,'236' (0xEC),'144' (0x90),Write,ACK
34.967478999999997,223,'236' (0xEC),J (0x4A),Read,ACK
34.967574312499998,223,'236' (0xEC),'214' (0xD6),Read,NAK
34.967785937499997,224,'236' (0xEC),'146' (0x92),Write,ACK
34.967990874999998,225,'236' (0xEC),'208' (0xD0),Read,ACK
34.968086312499999,225,'236' (0xEC),'11' (0x0B),Read,NAK
34.968297937499997,226,'236' (0xEC),'148' (0x94),Write,ACK
34.968502874999999,227,'236' (0xEC),'193' (0xC1),Read,ACK
34.968598187500000,227,'236' (0xEC),'30' (0x1E),Read,NAK
34.968809812499998,228,'236' (0xEC),'150' (0x96),Write,ACK
34.969014812499999,229,'236' (0xEC),$ (0x24),Read,ACK
34.969110250000000,229,'236' (0xEC),'0' (0x00),Read,NAK
34.969321874999999,230,'236' (0xEC),'152' (0x98),Write,ACK
34.969526812500000,231,'236' (0xEC),'249' (0xF9),Read,ACK
34.969622125000001,231,'236' (0xEC),'255' (0xFF),Read,NAK
34.969833749999999,232,'236' (0xEC),'154' (0x9A),Write,ACK
34.970038750000001,233,'236' (0xEC),'180' (0xB4),Read,ACK
34.970134125000001,233,'236' (0xEC),- (0x2D),Read,NAK
34.970345750000000,234,'236' (0xEC),'156' (0x9C),Write,ACK
34.970550750000001,235,'236' (0xEC),'232' (0xE8),Read,ACK
34.970646062500002,235,'236' (0xEC),'209' (0xD1),Read,NAK
34.970857687500001,236,'236' (0xEC),'158' (0x9E),Write,ACK
34.971062687500002,237,'236' (0xEC),'136' (0x88),Read,ACK
34.971158062500002,237,'236' (0xEC),'19' (0x13),Read,NAK
34.971369687500001,238,'236' (0xEC),'161' (0xA1),Write,ACK
34.971574687500002,239,'236' (0xEC),K (0x4B),Read,NAK
34.971786312500001,240,'236' (0xEC),'225' (0xE1),Write,ACK
34.971991312500002,241,'236' (0xEC),x (0x78),Read,ACK
34.972086625000003,241,'236' (0xEC),'1' (0x01),Read,NAK
34.972298250000001,242,'236' (0xEC),'227' (0xE3),Write,ACK
34.972503187500003,243,'236' (0xEC),'0' (0x00),Read,NAK
34.972714812500001,244,'236' (0xEC),'228' (0xE4),Write,ACK
34.972919812500002,245,'236' (0xEC),'17' (0x11),Read,NAK
34.973131437500001,246,'236' (0xEC),'229' (0xE5),Write,ACK
34.973336437500002,247,'236' (0xEC),/ (0x2F),Read,NAK
34.973548062500001,248,'236' (0xEC),'230' (0xE6),Write,ACK
34.973753062500002,249,'236' (0xEC),'3' (0x03),Read,NAK
34.973964687500001,250,'236' (0xEC),'229' (0xE5),Write,ACK
34.974169625000002,251,'236' (0xEC),/ (0x2F),Read,NAK
34.974381250000000,252,'236' (0xEC),'231' (0xE7),Write,ACK
34.974586250000002,253,'236' (0xEC),'30' (0x1E),Read,NAK
34.974803375000000,254,'236' (0xEC),'244' (0xF4),Write,ACK
34.974898187500003,254,'236' (0xEC),'0' (0x00),Write,ACK
34.975114187499997,255,'236' (0xEC),'242' (0xF2),Write,ACK
34.975209000000000,255,'236' (0xEC),'5' (0x05),Write,ACK
34.975426812499997,256,'236' (0xEC),'245' (0xF5),Write,ACK
34.975521624999999,256,'236' (0xEC),'0' (0x00),Write,ACK
34.975738999999997,257,'236' (0xEC),'244' (0xF4),Write,ACK
34.975833812499999,257,'236' (0xEC),'183' (0xB7),Write,ACK
39.443475124999999,258,'236' (0xEC),'250' (0xFA),Write,ACK
39.443710375000002,259,'236' (0xEC),'134' (0x86),Read,ACK
39.443806125000002,259,'236' (0xEC),'153' (0x99),Read,ACK
39.443901687500002,259,'236' (0xEC),0 (0x30),Read,NAK
39.444141437500001,260,'236' (0xEC),'250' (0xFA),Write,ACK
39.444346375000002,261,'236' (0xEC),'134' (0x86),Read,ACK
39.444441812500003,261,'236' (0xEC),'153' (0x99),Read,ACK
39.444537375000003,261,'236' (0xEC),0 (0x30),Read,NAK
39.444749000000002,262,'236' (0xEC),'247' (0xF7),Write,ACK
39.444954000000003,263,'236' (0xEC),n (0x6E),Read,ACK
39.445049500000003,263,'236' (0xEC),'204' (0xCC),Read,ACK
39.445145125000003,263,'236' (0xEC),'240' (0xF0),Read,NAK
39.445454562499997,264,'236' (0xEC),'250' (0xFA),Write,ACK
39.445659499999998,265,'236' (0xEC),'134' (0x86),Read,ACK
39.445755312499998,265,'236' (0xEC),'153' (0x99),Read,ACK
39.445850874999998,265,'236' (0xEC),0 (0x30),Read,NAK
39.446065249999997,266,'236' (0xEC),'247' (0xF7),Write,ACK
39.446270249999998,267,'236' (0xEC),n (0x6E),Read,ACK
39.446365687499998,267,'236' (0xEC),'204' (0xCC),Read,ACK
39.446461312499999,267,'236' (0xEC),'240' (0xF0),Read,NAK
39.446800875000001,268,'236' (0xEC),'250' (0xFA),Write,ACK
39.447005875000002,269,'236' (0xEC),'134' (0x86),Read,ACK
39.447101312500003,269,'236' (0xEC),'153' (0x99),Read,ACK
